"2016-06";"2.978";"2.312";"3.1225";"4.1484";"0.1671";"0.608";"0.4534";"4.5218";"5.7168";"0.014403";"0.038171";"0.2031";"0.4845";"1.0277";"0.0617";"0.4847";"-";"1.3798";"4.0257";"0.2668";"1.1735";"0.6105";"0.0598";"0.003446";"0.2158";"2.8309";"0.0366";"0.1612";"1.096";"0.6013";"-";"-";"-";"-";"-";"-";"-";"-";"164.8469";"5.6661";"3.0239";"2.3116";"3.1391";"4.1572";"0.1669";"0.6077";"0.4575";"4.521";"5.4634";"0.014281";"0.039519";"0.2052";"0.4854";"1.0204";"0.0634";"0.4795";"-";"1.4069";"4.0624";"0.2758";"1.2509";"0.6112";"0.0602";"0.003529";"0.2197";"2.8917";"0.0367";"0.1631";"1.106";"0.6007";"-";"-";"-";"-";"-";"-";"-";"-";"171.9706";"5.6782"
"2016-05";"2.9058";"2.3005";"3.0734";"4.0689";"0.1664";"0.6049";"0.4487";"4.4994";"5.783";"0.014298";"0.036507";"0.2002";"0.4832";"1.0214";"0.0605";"0.4841";"-";"1.3513";"3.9802";"0.2589";"1.1269";"0.6093";"0.0595";"0.003382";"0.219";"2.7033";"0.0366";"0.1576";"1.0836";"0.6003";"-";"-";"-";"-";"-";"-";"-";"-";"160.8712";"5.6138";"2.931";"2.3067";"3.0996";"4.0858";"0.167";"0.6066";"0.456";"4.5115";"5.907";"0.014363";"0.036455";"0.2024";"0.4837";"1.029";"0.0614";"0.4859";"-";"1.3697";"4.0491";"0.256";"1.1356";"0.615";"0.0602";"0.003403";"0.2194";"2.7228";"0.0367";"0.1613";"1.1024";"0.6034";"-";"-";"-";"-";"-";"-";"-";"-";"157.6803";"5.6777"
"2016-04";"3.0243";"2.2869";"3.0736";"4.0925";"0.1655";"0.6009";"0.4446";"4.4727";"5.6446";"0.014358";"0.036007";"0.2002";"0.48";"1.0381";"0.0593";"0.486";"-";"1.3907";"3.9455";"0.27";"1.1098";"0.609";"0.0593";"0.003441";"0.2255";"2.7187";"0.0364";"0.154";"1.0742";"0.5969";"-";"-";"-";"-";"-";"-";"-";"-";"157.5814";"5.5582";"3.0047";"2.2893";"3.145";"4.0843";"0.1655";"0.6015";"0.4431";"4.4774";"5.7369";"0.014364";"0.036741";"0.1995";"0.4855";"1.0163";"0.0611";"0.4883";"-";"1.4036";"3.9348";"0.2776";"1.1287";"0.6065";"0.0592";"0.00345";"0.2293";"2.7502";"0.0366";"0.1564";"1.0713";"0.5958";"-";"-";"-";"-";"-";"-";"-";"-";"161.3583";"5.5723"
"2016-03";"3.0115";"2.2833";"3.0358";"4.0889";"0.1651";"0.5989";"0.4765";"4.4657";"5.7155";"0.014349";"0.035597";"0.2034";"0.4734";"1.0408";"0.0574";"0.4809";"-";"1.3918";"4.0201";"0.2604";"1.0845";"0.6178";"0.06";"0.003396";"0.2277";"2.7057";"0.0363";"0.151";"1.0945";"0.5909";"-";"-";"-";"-";"-";"-";"-";"-";"160.8297";"5.6075";"3.0211";"2.2875";"3.0385";"4.0872";"0.1654";"0.6004";"0.4431";"4.4738";"5.6566";"0.014235";"0.035006";"0.2012";"0.4747";"1.0486";"0.0584";"0.4839";"-";"1.3928";"3.9349";"0.2655";"1.0941";"0.6089";"0.0594";"0.003451";"0.2282";"2.7254";"0.0364";"0.1494";"1.0713";"0.5946";"-";"-";"-";"-";"-";"-";"-";"-";"156.1066";"5.5409"
"2016-02";"2.8825";"2.2915";"2.9253";"4.0676";"0.1657";"0.6006";"0.5159";"4.4818";"5.7823";"0.014454";"0.0352";"0.201";"0.4691";"1.0193";"0.0524";"0.4766";"-";"1.3728";"4.0395";"0.2563";"1.0194";"0.6168";"0.0592";"0.003321";"0.2191";"2.6797";"0.0365";"0.1554";"1.0998";"0.5869";"-";"-";"-";"-";"-";"-";"-";"-";"155.2519";"5.6296";"2.9287";"2.2851";"3.0188";"4.0966";"0.1652";"0.5991";"0.5232";"4.4692";"5.6745";"0.014382";"0.036294";"0.2022";"0.4705";"1.0244";"0.0538";"0.4796";"-";"1.3823";"4.097";"0.2548";"1.0261";"0.6253";"0.0599";"0.003307";"0.2244";"2.7069";"0.0362";"0.1507";"1.1154";"0.586";"-";"-";"-";"-";"-";"-";"-";"-";"162.55";"5.6634"
"2016-01";"2.9206";"2.3164";"2.9316";"4.1422";"0.1676";"0.6071";"0.5326";"4.5303";"6.0062";"0.014394";"0.035301";"0.2051";"0.4722";"1.0282";"0.0541";"0.4882";"-";"1.3848";"4.1702";"0.255";"1.0286";"0.6343";"0.0619";"0.003463";"0.2311";"2.721";"0.0369";"0.1718";"1.1354";"0.5915";"-";"-";"-";"-";"-";"-";"-";"-";"146.9163";"5.7625";"2.9397";"2.318";"2.9504";"4.082";"0.1677";"0.6075";"0.5303";"4.5337";"5.9369";"0.014516";"0.034393";"0.2016";"0.4783";"1.0209";"0.0547";"0.4862";"-";"1.4007";"4.1525";"0.2582";"1.0197";"0.6314";"0.0612";"0.003446";"0.2274";"2.6937";"0.0367";"0.1622";"1.1305";"0.5917";"-";"-";"-";"-";"-";"-";"-";"-";"148.642";"5.7331"
"2015-12";"3.0003";"2.3029";"3.0192";"4.1608";"0.1666";"0.6037";"0.5286";"4.504";"6.2031";"0.014327";"0.034014";"0.209";"0.4762";"1.0496";"0.0589";"0.4872";"-";"1.4168";"4.139";"0.2764";"1.0699";"0.6411";"0.0622";"0.003522";"0.2426";"2.7933";"0.037";"0.1763";"1.1269";"0.5895";"-";"-";"-";"-";"-";"-";"-";"-";"142.1763";"5.7371";"3.0333";"2.3134";"2.9858";"4.1797";"0.1675";"0.6064";"0.5297";"4.5245";"6.1466";"0.014346";"0.034453";"0.2107";"0.4714";"1.0605";"0.0562";"0.4929";"-";"1.4175";"4.1477";"0.2653";"1.0472";"0.6387";"0.0627";"0.003525";"0.2384";"2.8421";"0.0372";"0.1725";"1.1292";"0.5923";"-";"-";"-";"-";"-";"-";"-";"-";"141.6693";"5.7504"
"2015-11";"2.9578";"2.2724";"3.1185";"4.1047";"0.1643";"0.5958";"0.5236";"4.4445";"6.2918";"0.014231";"0.033753";"0.2066";"0.4798";"1.046";"0.0637";"0.4771";"-";"1.4396";"4.1356";"0.2929";"1.095";"0.6492";"0.0625";"0.003583";"0.2487";"2.7142";"0.0368";"0.1769";"1.1259";"0.5845";"-";"-";"-";"-";"-";"-";"-";"-";"144.9792";"5.7163";"3.0248";"2.2732";"3.1477";"4.0725";"0.1645";"0.5959";"0.5361";"4.446";"6.3171";"0.01425";"0.034243";"0.208";"0.4829";"1.0412";"0.0633";"0.4813";"-";"1.4367";"4.1975";"0.2929";"1.1214";"0.6564";"0.0629";"0.003632";"0.2529";"2.7453";"0.0366";"0.1754";"1.1428";"0.5832";"-";"-";"-";"-";"-";"-";"-";"-";"143.8434";"5.7666"
"2015-10";"2.8378";"2.2609";"3.0107";"4.0638";"0.1631";"0.5928";"0.4965";"4.422";"6.0347";"0.014213";"0.032791";"0.1974";"0.476";"1.0408";"0.0623";"0.4732";"-";"1.345";"3.9346";"0.2917";"1.0146";"0.6196";"0.0605";"0.003438";"0.2374";"2.634";"0.0368";"0.1798";"1.0712";"0.5802";"-";"-";"-";"-";"-";"-";"-";"-";"146.4073";"5.534";"2.8612";"2.2661";"3.0645";"4.0778";"0.1635";"0.5943";"0.5013";"4.4322";"6.1812";"0.014294";"0.033453";"0.2018";"0.4699";"1.0393";"0.0628";"0.4727";"-";"1.3812";"4.0252";"0.2921";"1.046";"0.6371";"0.0616";"0.003539";"0.2432";"2.7201";"0.0368";"0.1754";"1.0959";"0.5848";"-";"-";"-";"-";"-";"-";"-";"-";"148.6687";"5.6223"
"2015-09";"2.7798";"2.2616";"2.9708";"4.0512";"0.1633";"0.5929";"0.503";"4.4232";"6.0469";"0.014128";"0.032788";"0.2005";"0.4751";"1.0486";"0.059";"0.4708";"-";"1.3055";"3.9382";"0.2888";"1.0151";"0.6184";"0.0595";"0.003321";"0.234";"2.4941";"0.0368";"0.1809";"1.0722";"0.5828";"-";"-";"-";"-";"-";"-";"-";"-";"142.3864";"5.5381";"2.7673";"2.2582";"2.9354";"4.0442";"0.1625";"0.592";"0.5024";"4.4167";"5.977";"0.014097";"0.032713";"0.1961";"0.4653";"1.0418";"0.0601";"0.4703";"-";"1.2986";"3.9342";"0.2844";"0.9701";"0.6189";"0.0599";"0.003329";"0.232";"2.5106";"0.0369";"0.186";"1.0711";"0.5758";"-";"-";"-";"-";"-";"-";"-";"-";"142.114";"5.5242"
"2015-08";"2.8973";"2.2614";"3.0216";"4.1038";"0.1636";"0.5927";"0.5074";"4.423";"6.1955";"0.0142";"0.032247";"0.2093";"0.4816";"1.0546";"0.0604";"0.4649";"-";"1.3926";"3.9724";"0.3077";"1.1342";"0.6268";"0.061";"0.003369";"0.2402";"2.6016";"0.0368";"0.1824";"1.0815";"0.5869";"-";"-";"-";"-";"-";"-";"-";"-";"142.7016";"5.5706";"2.8172";"2.2661";"2.9816";"4.1015";"0.164";"0.5939";"0.5046";"4.4321";"6.0855";"0.014094";"0.032587";"0.2018";"0.4751";"1.0478";"0.0588";"0.4662";"-";"1.3525";"3.9511";"0.296";"1.102";"0.6196";"0.0595";"0.003341";"0.2368";"2.5328";"0.0369";"0.1792";"1.0757";"0.5866";"-";"-";"-";"-";"-";"-";"-";"-";"142.2425";"5.5523"
"2015-07";"2.9901";"2.2694";"3.1417";"4.2313";"0.1638";"0.5949";"0.5164";"4.4385";"6.2753";"0.014248";"0.032682";"0.2128";"0.4967";"1.0686";"0.0703";"0.4731";"-";"1.4936";"4.0315";"0.3238";"1.2553";"0.6493";"0.0633";"0.003518";"0.253";"2.682";"0.0369";"0.1855";"1.0976";"-";"-";"-";"-";"-";"-";"-";"-";"-";"146.7231";"5.6302";"2.9143";"2.2533";"3.0772";"4.1733";"0.1629";"0.5906";"0.5131";"4.407";"6.2528";"0.014252";"0.032322";"0.2143";"0.4901";"1.0623";"0.0666";"0.4675";"-";"1.4421";"4.0166";"0.3153";"1.1907";"0.6468";"0.0626";"0.003427";"0.2469";"2.6295";"0.0367";"0.1904";"1.0935";"-";"-";"-";"-";"-";"-";"-";"-";"-";"139.6263";"5.6002"
"2015-06";"3.0727";"2.2846";"3.2219";"4.2738";"0.1637";"0.5989";"0.5217";"4.4682";"6.1992";"0.014313";"0.032183";"0.2184";"0.5096";"1.0738";"0.0728";"0.482";"-";"1.471";"3.9803";"0.3233";"1.2789";"0.6413";"0.0623";"0.003575";"0.2571";"2.7784";"0.0371";"0.1872";"1.0836";"-";"-";"-";"-";"-";"-";"-";"-";"-";"151.2722";"5.5945";"3.0695";"2.2872";"3.2265";"4.3021";"0.1641";"0.5996";"0.5238";"4.4735";"6.2896";"0.014201";"0.032659";"0.2151";"0.5096";"1.0671";"0.0719";"0.4854";"-";"1.4877";"3.9969";"0.327";"1.2788";"0.6446";"0.0628";"0.003578";"0.255";"2.7031";"0.0372";"0.1903";"1.0882";"-";"-";"-";"-";"-";"-";"-";"-";"-";"151.4504";"5.6235"
"2015-05";"3.1451";"2.2736";"3.2734";"4.2805";"0.1623";"0.596";"0.5222";"4.4469";"6.1622";"0.014511";"0.032986";"0.2218";"0.5286";"1.0892";"0.0788";"0.4782";"-";"1.5067";"3.9843";"0.3327";"1.3049";"0.6422";"0.0625";"0.003642";"0.2609";"2.9407";"0.0369";"0.1862";"1.0847";"-";"-";"-";"-";"-";"-";"-";"-";"-";"153.3267";"5.5938";"3.0958";"2.2699";"3.2506";"4.2929";"0.162";"0.5951";"0.5296";"4.4395";"6.1797";"0.014355";"0.032654";"0.2249";"0.5217";"1.0767";"0.077";"0.4769";"-";"1.5212";"4.0409";"0.333";"1.2788";"0.6519";"0.0633";"0.003644";"0.2634";"2.8811";"0.0368";"0.1918";"1.1001";"-";"-";"-";"-";"-";"-";"-";"-";"-";"154.7024";"5.626"
"2015-04";"3.1615";"2.2582";"3.3106";"4.2535";"0.1609";"0.5916";"0.5358";"4.4166";"6.1121";"0.014742";"0.034212";"0.2273";"0.5179";"1.0975";"0.0774";"0.4735";"-";"1.5392";"4.0881";"0.3407";"1.3405";"0.6593";"0.0652";"0.003766";"0.2689";"3.1021";"0.0368";"0.1821";"1.113";"-";"-";"-";"-";"-";"-";"-";"-";"-";"157.719";"5.6588";"3.1365";"2.2598";"3.2833";"4.2025";"0.161";"0.5923";"0.5181";"4.4198";"6.1047";"0.014592";"0.033238";"0.2223";"0.5248";"1.0988";"0.0765";"0.4763";"-";"1.4844";"3.9528";"0.3342";"1.3358";"0.6373";"0.0621";"0.003675";"0.2592";"3.0076";"0.0368";"0.1874";"1.0762";"-";"-";"-";"-";"-";"-";"-";"-";"-";"152.898";"5.5582"
"2015-03";"3.1655";"2.2666";"3.247";"4.1785";"0.1619";"0.5943";"0.5365";"4.433";"6.133";"0.01461";"0.034006";"0.2195";"0.5129";"1.0742";"0.068";"0.4799";"-";"1.5791";"4.0933";"0.3389";"1.3069";"0.6561";"0.0655";"0.003675";"0.2687";"3.057";"0.0368";"0.1789";"1.1144";"-";"-";"-";"-";"-";"-";"-";"-";"-";"155.2988";"5.669";"3.1261";"2.2547";"3.226";"4.2179";"0.1602";"0.5904";"0.539";"4.4098";"6.0733";"0.014735";"0.034244";"0.2215";"0.506";"1.0791";"0.071";"0.4748";"-";"1.5693";"4.1115";"0.3363";"1.2732";"0.6632";"0.0657";"0.003706";"0.2682";"3.0714";"0.0367";"0.1753";"1.1194";"-";"-";"-";"-";"-";"-";"-";"-";"-";"155.7917";"5.6675"
"2015-02";"3.0399";"2.266";"3.1197";"4.1706";"0.1605";"0.595";"0.5114";"4.432";"5.9799";"0.014433";"0.032884";"0.2079";"0.514";"1.0607";"0.0608";"0.4671";"-";"1.5847";"3.9017";"0.337";"1.3882";"0.624";"0.0629";"0.003542";"0.2616";"2.9064";"0.0365";"0.1633";"1.0622";"-";"-";"-";"-";"-";"-";"-";"-";"-";"154.4121";"5.5115";"3.0915";"2.2691";"3.1655";"4.1664";"0.1615";"0.5947";"0.5179";"4.4381";"6.0875";"0.014629";"0.033099";"0.2082";"0.5171";"1.0684";"0.0645";"0.474";"-";"1.5709";"3.9515";"0.3415";"1.3586";"0.6303";"0.064";"0.003592";"0.2631";"2.9873";"0.0369";"0.1173";"1.0758";"-";"-";"-";"-";"-";"-";"-";"-";"-";"153.1889";"5.5615"
"2015-01";"3.1217";"2.2945";"3.1959";"4.1485";"0.1608";"0.6031";"0.5311";"4.4877";"5.8559";"0.014171";"0.032735";"0.2306";"0.5019";"1.048";"0.0598";"0.4766";"-";"1.6567";"3.869";"0.3341";"1.4708";"0.6221";"0.0623";"0.003556";"0.2633";"2.9523";"0.0366";"0.2476";"1.0534";"-";"-";"-";"-";"-";"-";"-";"-";"-";"155.834";"5.4979";"3.032";"2.2713";"3.0935";"4.2438";"0.1596";"0.5968";"0.5159";"4.4424";"5.9039";"0.014246";"0.033303";"0.22";"0.502";"1.0549";"0.0555";"0.4738";"-";"1.6151";"3.9157";"0.3368";"1.5039";"0.6265";"0.0632";"0.003571";"0.2638";"2.839";"0.036";"0.2511";"1.0661";"-";"-";"-";"-";"-";"-";"-";"-";"-";"159.2492";"5.522"
"2014-12";"2.9857";"2.2799";"3.1378";"3.7083";"0.1614";"0.5993";"0.5061";"4.4591";"5.6587";"0.014342";"0.030328";"0.2345";"0.4959";"1.0579";"0.0637";"0.4744";"-";"1.5769";"3.6185";"0.3149";"1.3701";"0.5845";"0.0577";"0.003283";"0.2492";"2.8085";"0.0367";"0.2333";"0.9852";"-";"-";"-";"-";"-";"-";"-";"-";"-";"139.7694";"5.2695";"3.0232";"2.2916";"3.1836";"3.7273";"0.1616";"0.602";"0.5157";"4.4821";"5.743";"0.014211";"0.030866";"0.2359";"0.4987";"1.0475";"0.0628";"0.4778";"-";"1.5834";"3.6868";"0.3187";"1.3874";"0.5941";"0.0584";"0.003389";"0.2507";"2.8903";"0.0369";"0.2361";"1.0038";"-";"-";"-";"-";"-";"-";"-";"-";"-";"142.1646";"5.3402"
"2014-11";"3.0703";"2.2644";"3.1326";"3.6823";"0.16";"0.5952";"0.4966";"4.4289";"5.6019";"0.014426";"0.030553";"0.2373";"0.5213";"1.0514";"0.0771";"0.4795";"-";"1.5882";"3.5507";"0.3201";"1.3945";"0.5796";"0.0575";"0.003233";"0.2608";"2.7811";"0.0369";"0.2507";"0.9667";"-";"-";"-";"-";"-";"-";"-";"-";"-";"134.3188";"5.2084";"3.028";"2.2623";"3.1193";"3.6811";"0.1599";"0.5946";"0.497";"4.4247";"5.5751";"0.014386";"0.030059";"0.2368";"0.5087";"1.0582";"0.0718";"0.4782";"-";"1.607";"3.5533";"0.3229";"1.4042";"0.5784";"0.0573";"0.003207";"0.2575";"2.792";"0.0367";"0.2364";"0.9674";"-";"-";"-";"-";"-";"-";"-";"-";"-";"135.2576";"5.1995"
"2014-10";"3.0572";"2.2574";"3.1057";"3.6555";"0.1601";"0.5931";"0.4872";"4.4152";"5.597";"0.014346";"0.032256";"0.2374";"0.5312";"1.0498";"0.0851";"0.4809";"-";"1.5442";"3.4835";"0.3146";"1.4229";"0.5687";"0.0568";"0.003281";"0.2585";"2.7423";"0.037";"0.2696";"0.9484";"-";"-";"-";"-";"-";"-";"-";"-";"-";"137.0312";"5.1782";"3.0957";"2.2568";"3.1336";"3.6583";"0.159";"0.5928";"0.4909";"4.4139";"5.6153";"0.014373";"0.031381";"0.2376";"0.5222";"1.0508";"0.0831";"0.4766";"-";"1.5974";"3.5098";"0.323";"1.4594";"0.5742";"0.0572";"0.003285";"0.2617";"2.7571";"0.0371";"0.2721";"0.9556";"-";"-";"-";"-";"-";"-";"-";"-";"-";"132.4656";"5.1865"
"2014-09";"3.0947";"2.2546";"3.105";"3.6517";"0.1598";"0.5923";"0.4778";"4.41";"5.5722";"0.014079";"0.03186";"0.2382";"0.539";"1.0526";"0.0899";"0.4798";"-";"1.5455";"3.416";"0.3116";"1.469";"0.5565";"0.0561";"0.003302";"0.2583";"2.783";"0.0372";"0.2582";"0.93";"-";"-";"-";"-";"-";"-";"-";"-";"-";"136.3025";"5.124";"3.0548";"2.2555";"3.1351";"3.6568";"0.1604";"0.5927";"0.4898";"4.4114";"5.6735";"0.014223";"0.031939";"0.2387";"0.5435";"1.0573";"0.0887";"0.4822";"-";"1.5373";"3.5019";"0.3112";"1.4313";"0.5705";"0.0567";"0.00332";"0.2598";"2.7161";"0.0371";"0.2712";"0.9534";"-";"-";"-";"-";"-";"-";"-";"-";"-";"136.1476";"5.1936"
"2014-08";"3.092";"2.2624";"3.0404";"3.6514";"0.1591";"0.5935";"0.4647";"4.4249";"5.5506";"0.014091";"0.03227";"0.2402";"0.5361";"1.0553";"0.0918";"0.4817";"-";"1.5372";"3.3225";"0.3112";"1.4652";"0.5399";"0.0546";"0.003242";"0.2525";"2.8018";"0.0377";"0.2595";"0.9046";"-";"-";"-";"-";"-";"-";"-";"-";"-";"138.3418";"5.0711";"3.1291";"2.2561";"3.0857";"3.6583";"0.1588";"0.5921";"0.4684";"4.4126";"5.5567";"0.013985";"0.032232";"0.2398";"0.5415";"1.0451";"0.0907";"0.4812";"-";"1.5524";"3.349";"0.3157";"1.4951";"0.5451";"0.0553";"0.003302";"0.2557";"2.8069";"0.0374";"0.2472";"0.9118";"-";"-";"-";"-";"-";"-";"-";"-";"-";"138.4389";"5.0836"
"2014-07";"3.057";"2.2547";"3.035";"3.6294";"0.1606";"0.5914";"0.4554";"4.4097";"5.5598";"0.014233";"0.032015";"0.2322";"0.5254";"1.0639";"0.0938";"0.4776";"-";"1.5366";"3.2558";"0.3054";"1.4655";"0.5252";"0.0542";"0.00319";"0.2508";"2.8294";"0.0379";"0.2768";"0.8864";"-";"-";"-";"-";"-";"-";"-";"-";"-";"137.4287";"5.0186";"3.0688";"2.2593";"3.0244";"3.6313";"0.1605";"0.5926";"0.4618";"4.4188";"5.5723";"0.014164";"0.032108";"0.2364";"0.5257";"1.0623";"0.0928";"0.479";"-";"1.5455";"3.3016";"0.3086";"1.4694";"0.5348";"0.0546";"0.003212";"0.2504";"2.8035";"0.0378";"0.2769";"0.8989";"-";"-";"-";"-";"-";"-";"-";"-";"-";"137.3685";"5.0552"
"2014-06";"3.0291";"2.2472";"2.9863";"3.6084";"0.1601";"0.5893";"0.4523";"4.3951";"5.469";"0.014363";"0.031699";"0.2323";"0.5349";"1.0625";"0.094";"0.4836";"-";"1.5248";"3.2339";"0.3027";"1.4475";"0.519";"0.0541";"0.003173";"0.2489";"2.7899";"0.038";"0.2729";"0.8804";"-";"-";"-";"-";"-";"-";"-";"-";"-";"132.9692";"4.9841";"3.0206";"2.2431";"3.0075";"3.6097";"0.1598";"0.5884";"0.4495";"4.387";"5.4701";"0.01416";"0.0317";"0.2299";"0.5215";"1.0543";"0.0945";"0.4777";"-";"1.5124";"3.2138";"0.3028";"1.465";"0.518";"0.0535";"0.003176";"0.2474";"2.8079";"0.0379";"0.2701";"0.875";"-";"-";"-";"-";"-";"-";"-";"-";"-";"135.6324";"4.9676"
"2014-05";"2.9977";"2.2623";"2.9579";"3.625";"0.1612";"0.5928";"0.4543";"4.4245";"5.4259";"0.014531";"0.031655";"0.2351";"0.5426";"1.0586";"0.0924";"0.4901";"-";"1.5397";"3.2205";"0.3093";"1.4506";"0.5163";"0.0543";"0.003143";"0.249";"2.7714";"0.0383";"0.2722";"0.8768";"-";"-";"-";"-";"-";"-";"-";"-";"-";"133.5073";"4.9823";"3.0078";"2.249";"2.9833";"3.6038";"0.1601";"0.5893";"0.4518";"4.3986";"5.407";"0.014539";"0.031785";"0.2336";"0.5405";"1.0624";"0.0929";"0.4845";"-";"1.5436";"3.2307";"0.3094";"1.4511";"0.5171";"0.0547";"0.003167";"0.2515";"2.7418";"0.0381";"0.2727";"0.8796";"-";"-";"-";"-";"-";"-";"-";"-";"-";"130.2523";"4.9777"
"2014-04";"3.0097";"2.2814";"2.9381";"3.6603";"0.1625";"0.5977";"0.4625";"4.462";"5.4076";"0.014517";"0.031505";"0.2405";"0.5407";"1.0661";"0.0905";"0.4938";"-";"1.5177";"3.2299";"0.3062";"1.4464";"0.5189";"0.0535";"0.003097";"0.2472";"2.7804";"0.0386";"0.2766";"0.8793";"-";"-";"-";"-";"-";"-";"-";"-";"-";"134.8972";"5.0005";"2.9857";"2.2754";"2.9374";"3.6488";"0.1621";"0.5962";"0.4599";"4.4503";"5.413";"0.014472";"0.031392";"0.2381";"0.5392";"1.0596";"0.0901";"0.4906";"-";"1.5219";"3.2194";"0.305";"1.4398";"0.5143";"0.0534";"0.003116";"0.2457";"2.7547";"0.0385";"0.2775";"0.8765";"-";"-";"-";"-";"-";"-";"-";"-";"-";"133.7335";"4.9879"
"2014-03";"2.9518";"2.2973";"2.9264";"3.6896";"0.164";"0.602";"0.467";"4.4931";"5.4028";"0.014425";"0.031771";"0.2406";"0.5417";"1.0698";"0.0899";"0.5068";"-";"1.4663";"3.2508";"0.3024";"1.3956";"0.5266";"0.0533";"0.003036";"0.2462";"2.7737";"0.0388";"0.3343";"0.885";"-";"-";"-";"-";"-";"-";"-";"-";"-";"139.7075";"5.0302";"2.9824";"2.278";"2.9217";"3.6525";"0.1624";"0.5968";"0.4637";"4.4553";"5.3753";"0.014509";"0.031292";"0.2412";"0.5391";"1.0685";"0.0913";"0.4979";"-";"1.503";"3.2304";"0.3054";"1.4272";"0.5196";"0.0539";"0.003033";"0.2474";"2.7983";"0.0386";"0.2876";"0.8795";"-";"-";"-";"-";"-";"-";"-";"-";"-";"134.6268";"4.9919"
"2014-02";"2.9495";"2.296";"2.9751";"3.6768";"0.1636";"0.6018";"0.4723";"4.4906";"5.4416";"0.01448";"0.032226";"0.2438";"0.5371";"1.0753";"0.0931";"0.5063";"-";"1.4866";"3.2874";"0.2997";"1.3788";"0.5406";"0.0528";"0.003069";"0.2473";"2.7265";"0.0387";"0.3722";"0.895";"-";"-";"-";"-";"-";"-";"-";"-";"-";"137.2409";"5.0631";"2.9232";"2.3006";"2.9316";"3.6989";"0.1646";"0.6029";"0.4686";"4.4995";"5.4563";"0.014496";"0.032019";"0.2409";"0.5435";"1.0811";"0.0904";"0.5081";"-";"1.4743";"3.2618";"0.3056";"1.4049";"0.5308";"0.0526";"0.003056";"0.246";"2.7435";"0.0388";"0.3278";"0.8881";"-";"-";"-";"-";"-";"-";"-";"-";"-";"139.1144";"5.049"
"2014-01";"2.9386";"2.3121";"3.0326";"3.6713";"0.1645";"0.606";"0.477";"4.5219";"5.4685";"0.014947";"0.031963";"0.2517";"0.5383";"1.0816";"0.0981";"0.5118";"-";"1.4915";"3.3206";"0.3046";"1.3945";"0.5487";"0.0535";"0.003109";"0.251";"2.7486";"0.0391";"0.3973";"0.904";"-";"-";"-";"-";"-";"-";"-";"-";"-";"132.8483";"5.0981";"2.903";"2.2997";"2.9697";"3.676";"0.1634";"0.6027";"0.4772";"4.4978";"5.4671";"0.014467";"0.032434";"0.247";"0.5308";"1.0614";"0.0944";"0.5081";"-";"1.4641";"3.3221";"0.2953";"1.3774";"0.5481";"0.053";"0.003072";"0.2484";"2.7049";"0.0388";"0.3854";"0.9044";"-";"-";"-";"-";"-";"-";"-";"-";"-";"133.1168";"5.0944"
"2013-12";"2.9275";"2.2821";"3.0613";"3.644";"0.1623";"0.5983";"0.4721";"4.4633";"5.3376";"0.014864";"0.031513";"0.2499";"0.5306";"1.0686";"0.099";"0.4983";"-";"1.5799";"3.2581";"0.3138";"1.3888";"0.5363";"0.0527";"0.003085";"0.2505";"2.6784";"0.0389";"0.3959";"0.887";"-";"-";"-";"-";"-";"-";"-";"-";"-";"127.954";"5.0121";"2.902";"2.293";"3.0575";"3.6546";"0.1637";"0.6012";"0.4684";"4.4847";"5.3812";"0.015091";"0.030997";"0.2496";"0.5355";"1.0812";"0.0992";"0.5079";"-";"1.5268";"3.2551";"0.3099";"1.378";"0.5377";"0.0527";"0.003083";"0.2486";"2.6756";"0.0391";"0.4008";"0.8862";"-";"-";"-";"-";"-";"-";"-";"-";"-";"125.8097";"5.0178"
"2013-11";"3.0714";"2.2726";"3.1417";"3.6084";"0.1655";"0.5959";"0.4782";"4.4448";"5.3039";"0.014931";"0.03293";"0.254";"0.5413";"1.061";"0.1006";"0.5004";"-";"1.6263";"3.2935";"0.3228";"1.436";"0.5405";"0.0526";"0.003099";"0.2518";"2.7216";"0.039";"0.4026";"0.8967";"-";"-";"-";"-";"-";"-";"-";"-";"-";"135.2668";"5.041";"2.9695";"2.2708";"3.0833";"3.6071";"0.1621";"0.5954";"0.4742";"4.4412";"5.3281";"0.01476";"0.031912";"0.249";"0.532";"1.0563";"0.0984";"0.4979";"-";"1.6156";"3.2644";"0.3191";"1.4081";"0.5357";"0.0523";"0.003085";"0.2493";"2.6504";"0.039";"0.3962";"0.8887";"-";"-";"-";"-";"-";"-";"-";"-";"-";"130.692";"5.0107"
"2013-10";"3.1027";"2.2733";"3.146";"3.6101";"0.1732";"0.5961";"0.4731";"4.4462";"5.2478";"0.015078";"0.033341";"0.2503";"0.5474";"1.0611";"0.1016";"0.5083";"-";"1.6405";"3.2599";"0.3288";"1.4884";"0.5341";"0.0529";"0.003056";"0.2507";"2.7198";"0.039";"0.3982";"0.8876";"-";"-";"-";"-";"-";"-";"-";"-";"-";"137.7462";"5.0181";"3.0871";"2.2654";"3.1043";"3.5922";"0.1723";"0.5941";"0.4709";"4.4306";"5.1993";"0.015055";"0.033038";"0.2512";"0.5465";"1.0607";"0.1011";"0.5033";"-";"1.63";"3.2441";"0.3261";"1.4854";"0.5323";"0.0528";"0.003061";"0.2509";"2.6895";"0.0389";"0.3951";"0.8832";"-";"-";"-";"-";"-";"-";"-";"-";"-";"139.0025";"4.992"
